model,variant,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,prr,prr_ci_low,prr_ci_high
llava,vision_reasoning,0.708075,0.6433795773044746,0.7623251353077863,0.7186731272088969,0.6376620824220389,0.7878292042517627,0.4733608163862529,0.34004974904106583,0.5847438410124375
llava,vision_only,0.71325,0.6548496269475532,0.7632658297474778,0.7193033207723054,0.6458317000343328,0.7856367638687899,0.458412090308269,0.3254603441075089,0.5773417121811547
llava,reasoning_only,0.654675,0.5882410906849608,0.7174196960034013,0.675299270458052,0.5874787618361302,0.7561608885159438,0.34444855884972614,0.2023840834341456,0.48231807259658094
qwen,vision_reasoning,0.61785,0.5579169828148748,0.6730118347730454,0.6101633164831555,0.5281197545171743,0.6906997138096411,0.2897764161716197,0.15023423057625712,0.4128536855445331
qwen,vision_only,0.582175,0.5209671275131875,0.6427142621965246,0.5810212128842851,0.5003417801454474,0.6674135042594364,0.1531069002358495,-0.012184168973771548,0.31613321061526334
qwen,reasoning_only,0.6214,0.5604166312117087,0.6768765908961237,0.6162181326793535,0.5308749099801183,0.6994976319972356,0.2994913882352159,0.16008558495403563,0.42323570007469896
internvl,vision_reasoning,0.590625,0.534706004954052,0.6492858663938729,0.601845560062819,0.5307517799122782,0.6923064163453535,0.18677298744286044,0.049205667062990614,0.3201792503190146
internvl,vision_only,0.565025,0.5106027638363534,0.6210483033602694,0.5685866638105099,0.49899897955929456,0.6473533836940437,0.14050715295210467,-0.007384540856045418,0.2816868342740492
internvl,reasoning_only,0.58775,0.5306135070596246,0.6500971686863486,0.5956607971985655,0.525861935006159,0.6873422604106045,0.176887317934665,0.036282419667171245,0.3160650170285835
